cpt_code,procedure_name,medicare_rate,min_commercial,avg_commercial,max_commercial,avg_markup,price_variation_ratio,dollar_spread
27447,Total Knee Replacement,1600.0,2914.0,4157.0,5524.0,2.6,1.9,2610.0
36415,Blood Draw,3.0,6.0,8.0,10.0,2.62,1.9,5.0
43239,Upper GI Endoscopy,612.0,1114.0,1538.0,2062.0,2.51,1.9,947.0
59510,Cesarean Section,2100.0,3826.0,5523.0,7206.0,2.63,1.9,3380.0
93000,Electrocardiogram (ECG),28.0,51.0,72.0,97.0,2.57,1.9,46.0
99213,Office Visit (Established Patient),115.0,209.0,308.0,396.0,2.68,1.9,187.0
27130,Total Hip Replacement,1545.0,2855.0,3991.0,5226.0,2.58,1.8,2371.0
71250,CT Chest,312.0,583.0,835.0,1074.0,2.68,1.8,491.0
74177,CT Abdomen & Pelvis,389.0,741.0,987.0,1338.0,2.54,1.8,597.0
80053,Comprehensive Metabolic Panel,14.0,27.0,36.0,49.0,2.54,1.8,22.0
85025,Complete Blood Count (CBC),11.0,21.0,29.0,38.0,2.64,1.8,17.0
45378,Colonoscopy,492.0,974.0,1301.0,1698.0,2.64,1.7,724.0
70553,MRI Brain with Contrast,446.0,853.0,1141.0,1489.0,2.56,1.7,637.0
99283,Emergency Dept Visit (Moderate),186.0,367.0,481.0,613.0,2.59,1.7,246.0
