hospital_name,city,state,hospital_ownership,overall_rating,cpt_code,procedure_name,payer,gross_charge,cash_price,negotiated_rate,medicare_rate,markup_vs_medicare,payer_type,price_tier
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,70553,MRI Brain with Contrast,Blue Cross Blue Shield of Arizona,8858.98,1187.35,1328.3,446,2.98,Commercial,3: High (2.5-3.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,70553,MRI Brain with Contrast,Aetna,8858.98,1187.35,903.02,446,2.02,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,70553,MRI Brain with Contrast,UnitedHealthcare,8858.98,1187.35,1083.65,446,2.43,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,70553,MRI Brain with Contrast,Cigna,8858.98,1187.35,1156.43,446,2.59,Commercial,3: High (2.5-3.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,70553,MRI Brain with Contrast,Humana,8858.98,1187.35,938.66,446,2.1,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,70553,MRI Brain with Contrast,Medicare,8858.98,1187.35,466.02,446,1.04,Government,1: Low (<1.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,70553,MRI Brain with Contrast,Medicaid/AHCCCS,8858.98,1187.35,398.33,446,0.89,Government,1: Low (<1.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,70553,MRI Brain with Contrast,Cash/Self-Pay,8858.98,1187.35,1187.35,446,2.66,Cash,3: High (2.5-3.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,71250,CT Chest,Blue Cross Blue Shield of Arizona,5628.55,625.65,726.02,312,2.33,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,71250,CT Chest,Aetna,5628.55,625.65,720.89,312,2.31,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,71250,CT Chest,UnitedHealthcare,5628.55,625.65,851.81,312,2.73,Commercial,3: High (2.5-3.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,71250,CT Chest,Cigna,5628.55,625.65,642.34,312,2.06,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,71250,CT Chest,Humana,5628.55,625.65,795.99,312,2.55,Commercial,3: High (2.5-3.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,71250,CT Chest,Medicare,5628.55,625.65,321.43,312,1.03,Government,1: Low (<1.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,71250,CT Chest,Medicaid/AHCCCS,5628.55,625.65,223.05,312,0.71,Government,1: Low (<1.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,71250,CT Chest,Cash/Self-Pay,5628.55,625.65,625.65,312,2.01,Cash,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,74177,CT Abdomen & Pelvis,Blue Cross Blue Shield of Arizona,7907.01,1059.67,956.29,389,2.46,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,74177,CT Abdomen & Pelvis,Aetna,7907.01,1059.67,945.33,389,2.43,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,74177,CT Abdomen & Pelvis,UnitedHealthcare,7907.01,1059.67,852.0,389,2.19,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,74177,CT Abdomen & Pelvis,Cigna,7907.01,1059.67,1162.73,389,2.99,Commercial,3: High (2.5-3.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,74177,CT Abdomen & Pelvis,Humana,7907.01,1059.67,789.46,389,2.03,Commercial,2: Mid (1.5-2.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,74177,CT Abdomen & Pelvis,Medicare,7907.01,1059.67,394.31,389,1.01,Government,1: Low (<1.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,74177,CT Abdomen & Pelvis,Medicaid/AHCCCS,7907.01,1059.67,296.76,389,0.76,Government,1: Low (<1.5x Medicare)
Banner - University Medical Center Phoenix,Phoenix,AZ,Voluntary non-profit,4,74177,CT Abdomen & Pelvis,Cash/Self-Pay,7907.01,1059.67,1059.67,389,2.72,Cash,3: High (2.5-3.5x Medicare)
