cpt_code,procedure_name,current_avg_price,smart_avg_price,savings_per_case,savings_pct
59510,Cesarean Section,5523.0,4279.0,1244.0,22.5
27447,Total Knee Replacement,4157.0,3321.0,836.0,20.1
27130,Total Hip Replacement,3991.0,3178.0,813.0,20.4
43239,Upper GI Endoscopy,1538.0,1246.0,292.0,19.0
45378,Colonoscopy,1301.0,1068.0,232.0,17.9
70553,MRI Brain with Contrast,1141.0,945.0,195.0,17.1
74177,CT Abdomen & Pelvis,987.0,808.0,180.0,18.2
71250,CT Chest,835.0,675.0,160.0,19.2
99283,Emergency Dept Visit (Moderate),481.0,397.0,84.0,17.4
99213,Office Visit (Established Patient),308.0,250.0,58.0,18.7
93000,Electrocardiogram (ECG),72.0,58.0,14.0,18.8
80053,Comprehensive Metabolic Panel,36.0,30.0,6.0,16.5
85025,Complete Blood Count (CBC),29.0,23.0,6.0,19.0
36415,Blood Draw,8.0,6.0,1.0,19.0
